Last updated 09 February,,,,,,,,,,,,,,,,,,,,,
,Team Capability,,,,,,,,Location,,,,,,,,,,,,
Supplier,Performance Analysis and Data ,Security,Service delivery,Software Development,Support and Operations,Testing and Auditing,User Experience and Design,User research,"No specific region, they can work remotely",Scotland,North East England,North West England,Yorkshire and the Humber,East Midlands,West Midlands,East of England,Wales,London,South East England,South West England,Northern Ireland
Twin Technology,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Unisys Limited,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no
Valtech Ltd.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Leonardo MW Ltd,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
XML Solutions Ltd.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no
Zaizi Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Eduserv,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Squiz UK Ltd,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Fivium Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Mds Technologies Ltd,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no
Atkins Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
BJSS Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cadence Partnership LLP,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no
Informed Solutions Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Kainos Software Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Magic Milestones Limited,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no
Medley Business Solutions Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Neontribe Ltd,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no
Nexor Limited,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
NTT Europe Ltd,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
PA Consulting Services Limited (UK),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
